product_id,product_name,category,description,price,user_query,relevance_label
221cb6ff,D Tech Tablette D Tech 7,Tablette,Tablette D Tech 7,13 200 DA,tbalette 4g,1
e4264c7f,TCL HH40L1,Routeur_Modem,TCL HH40L1,8 690 DA,tc hh40l1,1
7544e472,Revaleo RCB 005 IOS,Accessoire_Audio,RCB 005 IOS,600 DA,el djazira culd007 micro usb,0
6ef13f8e,D Tech Tablette D Tech 10,Tablette,Tablette D Tech 10,18 100 DA,el djazira ccld 001c type c,0
17c59f13,D Link DWR M920 B1,Routeur_Modem,D Link DWR M920 B1,8 900 DA,routeur_modem d link,1
b7888a33,D Link DWR G403,Routeur_Modem,D Link DWR G403,10 500 DA,d link,1
eb1747d3,ZTE BLADE A75,Smartphone,ZTE BLADE A75,31 900 DA,smarthpone zte,1
73fc46f7,HOCO STEREO Earphones  M90,Accessoire_Audio,STEREO Earphones  M90,1 500 DA,revaleo rtc 004 type c,0
e4264c7f,TCL HH40L1,Routeur_Modem,TCL HH40L1,8 690 DA,el djazira fcld 002 s micro usb,0
17c59f13,D Link DWR M920 B1,Routeur_Modem,D Link DWR M920 B1,8 900 DA,d tech tablette d tech 7,0
b7888a33,D Link DWR G403,Routeur_Modem,D Link DWR G403,10 500 DA,el djazira fcld 009 c type c,0
17c59f13,D Link DWR M920 B1,Routeur_Modem,D Link DWR M920 B1,8 900 DA,revaleo tk 77 tipe c,0
eaf93aee,ZTE NUBIA MUSIC POP ART,Smartphone,NUBIA MUSIC POP ART,25 500 DA,smartphone en ligne,1
221cb6ff,D Tech Tablette D Tech 7,Tablette,Tablette D Tech 7,13 200 DA,nouveau revaleo tk 75,0
6ef13f8e,D Tech Tablette D Tech 10,Tablette,Tablette D Tech 10,18 100 DA,revaleo tk80 qc3 type c,0
eb1747d3,ZTE BLADE A75,Smartphone,ZTE BLADE A75,31 900 DA,achat routeur_modem solde,0
bdcc9a7a,Revaleo RCB 86 MICRO USB,Accessoire_Audio,RCB 86 MICRO USB,300 DA,revaleo lch 086 micro usb,0
307ddb3e,HOCO X85 Type C TO Type C,Accessoire_Audio,X85 Type C TO Type C,1 000 DA,accessoire_audio hoco,1
17c59f13,D Link DWR M920 B1,Routeur_Modem,D Link DWR M920 B1,8 900 DA,zte blade a75,0
6ef13f8e,D Tech Tablette D Tech 10,Tablette,Tablette D Tech 10,18 100 DA,d tech,1
221cb6ff,D Tech Tablette D Tech 7,Tablette,Tablette D Tech 7,13 200 DA,le d tech,1
eaf93aee,ZTE NUBIA MUSIC POP ART,Smartphone,NUBIA MUSIC POP ART,25 500 DA,la hoco metal holder ca56,0
6ef13f8e,D Tech Tablette D Tech 10,Tablette,Tablette D Tech 10,18 100 DA,chercher tablette android,1
910ca276,EL DJAZIRA CHARGEUR PSLD002,Accessoire_Charge,CHARGEUR PSLD002,3 000 DA,el djazira aux 3 5 cauld001  dv,0
b7888a33,D Link DWR G403,Routeur_Modem,D Link DWR G403,10 500 DA,modem 4g en ligne,1
17c59f13,D Link DWR M920 B1,Routeur_Modem,D Link DWR M920 B1,8 900 DA,modem 4g,1
6ef13f8e,D Tech Tablette D Tech 10,Tablette,Tablette D Tech 10,18 100 DA,tablete,1
020287da,ZTE Blade A55,Smartphone,Blade A55,20 900 DA,blade 5a5,1
17c59f13,D Link DWR M920 B1,Routeur_Modem,D Link DWR M920 B1,8 900 DA,achat wifi d link algerie,1
6ef13f8e,D Tech Tablette D Tech 10,Tablette,Tablette D Tech 10,18 100 DA,revaleo rcb 005 type c,0
82f4cdb0,D Link Clé 4G DWR 910M Wifi,Routeur_Modem,Clé 4G DWR 910M Wifi,4 500 DA,wifi,1
1988c0cb,ZTE NUBIA Neo2 5G,Smartphone,ZTE NUBIA Neo2 5G,49 900 DA,hoco earphones mic m1 pro,0
e4264c7f,TCL HH40L1,Routeur_Modem,TCL HH40L1,8 690 DA,el djazira culd007 type c,0
3775216e,D Link DWR M961,Routeur_Modem,D Link DWR M961,9 900 DA,revaleo rcb 005 micro usb,0
3e7e39a5,D Tech Tablette D Tech 8,Tablette,Tablette D Tech 8,15 500 DA,revaleo lch 219 micro usb,0
1988c0cb,ZTE NUBIA Neo2 5G,Smartphone,ZTE NUBIA Neo2 5G,49 900 DA,voir zte original,1
b7888a33,D Link DWR G403,Routeur_Modem,D Link DWR G403,10 500 DA,routeur_moem d link,1
82f4cdb0,D Link Clé 4G DWR 910M Wifi,Routeur_Modem,Clé 4G DWR 910M Wifi,4 500 DA,hoco écouteurs  ew25 disponible,0
1988c0cb,ZTE NUBIA Neo2 5G,Smartphone,ZTE NUBIA Neo2 5G,49 900 DA,zte nubia neo2 5g,1
3775216e,D Link DWR M961,Routeur_Modem,D Link DWR M961,9 900 DA,moedm 4g,1
